DATE,RETAILSMNSA
01-01-2010,279044
01-02-2010,275566
01-03-2010,321305
01-04-2010,316940
01-05-2010,324820
01-06-2010,319183
01-07-2010,320915
01-08-2010,322319
01-09-2010,307638
01-10-2010,315059
01-11-2010,328381
01-12-2010,386878
01-01-2011,298626
01-02-2011,299920
01-03-2011,345052
01-04-2011,339014
01-05-2011,348979
01-06-2011,346620
01-07-2011,341381
01-08-2011,352224
01-09-2011,333642
01-10-2011,337067
01-11-2011,351517
01-12-2011,408910
01-01-2012,315540
01-02-2012,331470
01-03-2012,368502
01-04-2012,349194
01-05-2012,373129
01-06-2012,356083
01-07-2012,351520
01-08-2012,372986
01-09-2012,342582
01-10-2012,355823
01-11-2012,368593
01-12-2012,416807
01-01-2013,333792
01-02-2013,332491
01-03-2013,374153
01-04-2013,362978
01-05-2013,389694
01-06-2013,369264
01-07-2013,376921
01-08-2013,388107
01-09-2013,352558
01-10-2013,369657
01-11-2013,378499
01-12-2013,430336
01-01-2014,340412
01-02-2014,337329
01-03-2014,383421
01-04-2014,383809
01-05-2014,408222
01-06-2014,385429
01-07-2014,394582
01-08-2014,401234
01-09-2014,374272
01-10-2014,388210
01-11-2014,391317
01-12-2014,451203
01-01-2015,350026
01-02-2015,341415
01-03-2015,392786
01-04-2015,387261
01-05-2015,409288
01-06-2015,397687
01-07-2015,406368
01-08-2015,404720
01-09-2015,382001
01-10-2015,392585
01-11-2015,396462
01-12-2015,465394
01-01-2016,352051
01-02-2016,363761
01-03-2016,405542
01-04-2016,395307
01-05-2016,413617
01-06-2016,410538
01-07-2016,406480
01-08-2016,417129
01-09-2016,394843
01-10-2016,397923
01-11-2016,415102
01-12-2016,484041
01-01-2017,369883
01-02-2017,366697
01-03-2017,424836
01-04-2017,409718
01-05-2017,437604
01-06-2017,426090
01-07-2017,419913
01-08-2017,434961
01-09-2017,415471
01-10-2017,421000
01-11-2017,445632
01-12-2017,501921
01-01-2018,391584
01-02-2018,384117
01-03-2018,449698
01-04-2018,424946
01-05-2018,468027
01-06-2018,448905
01-07-2018,446457
01-08-2018,461392
01-09-2018,423123
01-10-2018,446615
01-11-2018,466816
01-12-2018,503812
01-01-2019,403716
01-02-2019,390960
01-03-2019,454795
01-04-2019,449167
